Ticker,Observation_Row_Count,Has_Fundamental_Observations
ADVANC.BK,10,True
AOT.BK,11,True
AWC.BK,11,True
BANPU.BK,11,True
BBL.BK,11,True
BDMS.BK,11,True
BEM.BK,11,True
BGRIM.BK,11,True
BH.BK,11,True
BJC.BK,11,True
BTS.BK,10,True
CBG.BK,11,True
CCET.BK,11,True
CENTEL.BK,11,True
COM7.BK,11,True
CPALL.BK,11,True
CPF.BK,11,True
CPN.BK,11,True
DELTA.BK,10,True
EA.BK,11,True
EGCO.BK,11,True
GLOBAL.BK,11,True
GPSC.BK,10,True
GULF.BK,11,True
HMPRO.BK,11,True
IVL.BK,11,True
KBANK.BK,11,True
KCE.BK,11,True
KKP.BK,11,True
KTB.BK,11,True
KTC.BK,11,True
LH.BK,11,True
MINT.BK,11,True
OR.BK,11,True
OSP.BK,11,True
PTT.BK,11,True
RATCH.BK,11,True
SAWAD.BK,11,True
SCB.BK,8,True
SCC.BK,11,True
SCGP.BK,10,True
TCAP.BK,11,True
TIDLOR.BK,8,True
TISCO.BK,11,True
TLI.BK,11,True
TOP.BK,11,True
TRUE.BK,10,True
TTB.BK,11,True
TU.BK,10,True
VGI.BK,10,True
