Ticker,Observation_Row_Count,Has_Fundamental_Observations
ADVANC.BK,10,True
AKR.BK,11,True
AOT.BK,11,True
AP.BK,11,True
ASAP.BK,11,True
ASIAN.BK,11,True
AWC.BK,11,True
BANPU.BK,11,True
BAY.BK,11,True
BBL.BK,11,True
BCH.BK,11,True
BCPG.BK,10,True
BCT.BK,10,True
BDMS.BK,11,True
BEM.BK,11,True
BGRIM.BK,11,True
BH.BK,11,True
BJC.BK,11,True
BRR.BK,11,True
BTS.BK,10,True
CBG.BK,11,True
CCET.BK,11,True
CENTEL.BK,11,True
CGD.BK,11,True
CHG.BK,11,True
CIMBT.BK,11,True
COM7.BK,11,True
CPALL.BK,11,True
CPF.BK,11,True
CPN.BK,11,True
CRC.BK,11,True
DELTA.BK,10,True
DRT.BK,11,True
EA.BK,11,True
EGCO.BK,11,True
ERW.BK,11,True
FPI.BK,11,True
FPT.BK,11,True
GLOBAL.BK,11,True
GPI.BK,11,True
GPSC.BK,10,True
GULF.BK,11,True
HANA.BK,11,True
HMPRO.BK,11,True
IRPC.BK,10,True
ITD.BK,11,True
IVL.BK,11,True
JAS.BK,11,True
JMART.BK,11,True
JMT.BK,11,True
KBANK.BK,11,True
KBS.BK,11,True
KCE.BK,11,True
KKP.BK,11,True
KSL.BK,12,True
KTB.BK,11,True
KTC.BK,11,True
LH.BK,11,True
MEGA.BK,11,True
MINT.BK,11,True
MTC.BK,11,True
NCH.BK,11,True
NOBLE.BK,11,True
OR.BK,11,True
OSP.BK,11,True
PF.BK,11,True
PG.BK,11,True
PRIN.BK,11,True
PSL.BK,10,True
PTT.BK,11,True
PTTEP.BK,10,True
PTTGC.BK,11,True
RATCH.BK,11,True
RBF.BK,11,True
RCL.BK,11,True
RML.BK,11,True
RS.BK,11,True
SAWAD.BK,11,True
SCB.BK,8,True
SCC.BK,11,True
SCGP.BK,10,True
SITHAI.BK,11,True
SPALI.BK,11,True
SPRC.BK,11,True
STPI.BK,11,True
TCAP.BK,11,True
THANI.BK,11,True
TIDLOR.BK,8,True
TISCO.BK,11,True
TLI.BK,11,True
TOP.BK,11,True
TR.BK,10,True
TRUE.BK,10,True
TTB.BK,11,True
TU.BK,10,True
TVO.BK,11,True
VGI.BK,10,True
WHA.BK,11,True
WPH.BK,11,True
XPG.BK,11,True
