Ticker,Price_Date,Statement_Date,Availability_Date,Period_Type,WACC_Mode,No_Lookahead_Pass,Days_Since_Available,Price,FCF,Shares,WACC,Net_Debt,Actual_Revenue_Growth,Implied_Growth_Rate,Signal_Score,Intrinsic_Value,Losing_Buy_Rounds,Buy_Ban_Active,Rebalance_Date,Universe_Count,Eligible_Count,Excluded_Count,Case_Name,Top_N_Requested,Stop_Loss_Pct
GPI.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,damodaran,True,46,1.57474684715271,215030000.0,600000000.0,0.059090000000000004,-21699383.96,0.0,-0.27423095703125,0.27423095703125,1.5743901796824982,0,False,2021-06-30,100,47,53,damodaran,10,0.0
NCH.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,damodaran,True,46,1.4699300527572632,273410000.0,1245283691.0,0.040893,1093803545.34,0.0,-0.22900390625,0.22900390625,1.470631765794798,0,False,2021-06-30,100,47,53,damodaran,10,0.0
RCL.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,damodaran,True,46,31.05168914794922,2151000000.0,828750000.0,0.062025,-11537247290.0,0.0,-0.19948959350585938,0.19948959350585938,31.05170848605512,0,False,2021-06-30,100,47,53,damodaran,10,0.0
TVO.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,damodaran,True,46,22.04544448852539,1136000000.0,889471248.0,0.050872,-318710600.0,0.0,-0.1042633056640625,0.1042633056640625,22.044832602319406,0,False,2021-06-30,100,47,53,damodaran,10,0.0
DRT.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,damodaran,True,46,5.8562517166137695,417210000.0,855033100.0,0.059090000000000004,686646601.0,0.0,-0.0992279052734375,0.0992279052734375,5.856429781830228,0,False,2021-06-30,100,47,53,damodaran,10,0.0
ADVANC.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,damodaran,True,46,133.372802734375,15461000000.0,2974000000.0,0.05145899999999999,119401689939.0,0.0,0.0015645027160644531,-0.0015645027160644531,133.37303325031021,0,False,2021-06-30,100,47,53,damodaran,10,0.0
PF.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,damodaran,True,46,0.3894285559654236,455230000.0,10011080604.0,0.040893,28949318000.0,0.0,0.0423583984375,-0.0423583984375,0.38967441817216325,0,False,2021-06-30,100,47,53,damodaran,10,0.0
SPRC.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,damodaran,True,46,7.591061115264893,1247000000.0,4335902125.0,0.059090000000000004,9655025185.0,0.0,0.045654296875,-0.045654296875,7.5909705187190575,0,False,2021-06-30,100,47,53,damodaran,10,0.0
EGCO.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,damodaran,True,46,136.99832153320312,3145000000.0,526465000.0,0.050284999999999996,77952903000.0,0.0,0.05094432830810547,-0.05094432830810547,136.99789034924163,0,False,2021-06-30,100,47,53,damodaran,10,0.0
STPI.BK,2021-06-30,2021-03-31,2021-05-15,quarterly,damodaran,True,46,5.0,258079999.99999997,1624831478.0,0.062025,732732921.0,0.0,0.060394287109375,-0.060394287109375,5.000999502815958,0,False,2021-06-30,100,47,53,damodaran,10,0.0
